tempsort,Group,Item,ItemNumber,WordSense,PictureWord,PictureWord_lc,TargetPic,ShortPic,Xdim,Ydim
164,4,rib_sense2,29,skeletal rib,RIB,rib,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/rib_sense2.png?raw=true,rib_sense2.png,400,400
7,1,ring_sense1,30,jewelry ring,RING,ring,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/ring_sense1.jpg?raw=true,ring_sense1.jpg,400,400
55,2,ring_sense1,30,jewelry ring,RING,ring,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/ring_sense1.jpg?raw=true,ring_sense1.jpg,400,400
103,3,ring_sense1,30,jewelry ring,RING,ring,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/ring_sense1.jpg?raw=true,ring_sense1.jpg,400,400
151,4,ring_sense1,30,jewelry ring,RING,ring,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/ring_sense1.jpg?raw=true,ring_sense1.jpg,400,400
8,1,ring_sense2,31,boxing ring,RING,ring,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/ring_sense2.png?raw=true,ring_sense2.png,400,400
56,2,ring_sense2,31,boxing ring,RING,ring,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/ring_sense2.png?raw=true,ring_sense2.png,400,400
104,3,ring_sense2,31,boxing ring,RING,ring,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/ring_sense2.png?raw=true,ring_sense2.png,400,400
152,4,ring_sense2,31,boxing ring,RING,ring,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/ring_sense2.png?raw=true,ring_sense2.png,400,400
47,1,ruler_sense2,32,political ruler,RULER,ruler,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/ruler_sense2.png?raw=true,ruler_sense2.png,400,400
95,2,ruler_sense2,32,political ruler,RULER,ruler,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/ruler_sense2.png?raw=true,ruler_sense2.png,400,400
143,3,ruler_sense2,32,political ruler,RULER,ruler,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/ruler_sense2.png?raw=true,ruler_sense2.png,400,400
191,4,ruler_sense2,32,political ruler,RULER,ruler,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/ruler_sense2.png?raw=true,ruler_sense2.png,400,400
21,1,seal_sense1,33,Navy Seal,SEAL,seal,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/seal_sense1.png?raw=true,seal_sense1.png,400,400
69,2,seal_sense1,33,Navy Seal,SEAL,seal,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/seal_sense1.png?raw=true,seal_sense1.png,400,400
117,3,seal_sense1,33,Navy Seal,SEAL,seal,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/seal_sense1.png?raw=true,seal_sense1.png,400,400
165,4,seal_sense1,33,Navy Seal,SEAL,seal,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/seal_sense1.png?raw=true,seal_sense1.png,400,400
22,1,seal_sense2,34,animal seal,SEAL,seal,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/seal_sense2.jpg?raw=true,seal_sense2.jpg,400,400
70,2,seal_sense2,34,animal seal,SEAL,seal,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/seal_sense2.jpg?raw=true,seal_sense2.jpg,400,400
118,3,seal_sense2,34,animal seal,SEAL,seal,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/seal_sense2.jpg?raw=true,seal_sense2.jpg,400,400
166,4,seal_sense2,34,animal seal,SEAL,seal,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/seal_sense2.jpg?raw=true,seal_sense2.jpg,400,400
31,1,shower_sense1,35,the physical stall within which one takes a shower,SHOWER,shower,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/shower_sense1.jpg?raw=true,shower_sense1.jpg,400,400
79,2,shower_sense1,35,the physical stall within which one takes a shower,SHOWER,shower,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/shower_sense1.jpg?raw=true,shower_sense1.jpg,400,400
127,3,shower_sense1,35,the physical stall within which one takes a shower,SHOWER,shower,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/shower_sense1.jpg?raw=true,shower_sense1.jpg,400,400
175,4,shower_sense1,35,the physical stall within which one takes a shower,SHOWER,shower,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/shower_sense1.jpg?raw=true,shower_sense1.jpg,400,400
32,1,shower_sense2,36,the experience of taking a shower,SHOWER,shower,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/shower_sense2.png?raw=true,shower_sense2.png,400,400
80,2,shower_sense2,36,the experience of taking a shower,SHOWER,shower,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/shower_sense2.png?raw=true,shower_sense2.png,400,400
128,3,shower_sense2,36,the experience of taking a shower,SHOWER,shower,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/shower_sense2.png?raw=true,shower_sense2.png,400,400
176,4,shower_sense2,36,the experience of taking a shower,SHOWER,shower,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/shower_sense2.png?raw=true,shower_sense2.png,400,400
42,1,sign_sense1,37,billboard sign,SIGN,sign,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/sign_sense1.png?raw=true,sign_sense1.png,400,400
90,2,sign_sense1,37,billboard sign,SIGN,sign,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/sign_sense1.png?raw=true,sign_sense1.png,400,400
138,3,sign_sense1,37,billboard sign,SIGN,sign,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/sign_sense1.png?raw=true,sign_sense1.png,400,400
186,4,sign_sense1,37,billboard sign,SIGN,sign,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/sign_sense1.png?raw=true,sign_sense1.png,400,400
35,1,son_sense1,38,familial son,SON,son,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/son_sense1.png?raw=true,son_sense1.png,400,400
83,2,son_sense1,38,familial son,SON,son,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/son_sense1.png?raw=true,son_sense1.png,400,400
131,3,son_sense1,38,familial son,SON,son,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/son_sense1.png?raw=true,son_sense1.png,400,400
