Group,Item,ItemNumber,depicted.sense.to.distractor.of.depicted.sense,depicted.sense.to.distractor.of.nondepicted.sense,sense1.sense2,nondepicted.sense.to.distractor.of.depicted.sense,nondepicted.sense.to.distractor.of.nondepicted.sense,WordSense,PictureWord,distractor1,distractor2,OneOrTwoPics,PairGrouper,DistWord,Condition,DistWordSound,DistWordSoundGit,TargetPic,ShortPic,Xdim,Ydim,Arbitrary.order
1,son_sense1,38,0.963357868,-0.628715458,-0.708392573,-0.663344358,0.454956401,familial son,SON,DAUGHTER,MOON,2,9,MOON,d2,moon.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/moon.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/son_sense1.png?raw=true,son_sense1.png,400,400,35
1,son_sense2,39,0.454956401,-0.663344358,-0.708392573,-0.628715458,0.963357868,shining sun,SON,MOON,DAUGHTER,2,9,DRAFT,d2control,draft.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/draft.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/son_sense2.png?raw=true,son_sense2.png,400,400,36
1,sponge_sense1,43,-0.064004866,-0.727137043,-0.390508453,-0.181303886,0.912374656,kitchen sponge,SPONGE,TOWEL,CORAL,2,10,TOWEL,d1,towel.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/towel.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/sponge_sense1.jpg?raw=true,sponge_sense1.jpg,400,400,37
1,sponge_sense2,44,0.912374656,-0.181303886,-0.390508453,-0.727137043,-0.064004866,animal sponge in the sea,SPONGE,CORAL,TOWEL,2,10,ALBUM,d1control,album.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/album.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/sponge_sense2.png?raw=true,sponge_sense2.png,400,400,38
1,tape_sense1,45,0.261773264,-0.794755337,0.109915882,-0.24090761,0.072450705,mix tape,TAPE,ALBUM,GLUE,2,10,GLUE,d2,glue.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/glue.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/tape_sense1.png?raw=true,tape_sense1.png,400,400,39
1,tape_sense2,46,0.072450705,-0.24090761,0.109915882,-0.794755337,0.261773264,sticky tape,TAPE,GLUE,ALBUM,2,10,CORAL,d2control,coral.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/coral.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/tape_sense2.jpg?raw=true,tape_sense2.jpg,400,400,40
1,grain_sense2,16,1.63349839,-0.72116126,-0.532315768,-0.35998847,1.703534649,whole grain,GRAIN,WHEAT,PARTICLE,1,11,WHEAT,d1,wheat.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/wheat.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/grain_sense2.jpg?raw=true,grain_sense2.jpg,400,400,41
1,sign_sense1,37,1.773916101,-0.572430278,-0.560230124,-0.168307271,1.141095939,billboard sign,SIGN,BILLBOARD,OMEN,1,12,FINGER,d1control,finger.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/finger.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/sign_sense1.png?raw=true,sign_sense1.png,400,400,42
1,hand_sense1,17,1.020025754,-0.617553382,-0.53214907,-0.673133298,1.885911404,anatomical hand,HAND,FINGER,APPLAUSE,1,11,APPLAUSE,d2,applause.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/applause.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/hand_sense1.jpg?raw=true,hand_sense1.jpg,400,400,43
1,paper_sense1,21,1.07960155,-0.610663122,0.332341152,-0.520207424,1.66436476,material paper,PAPER,CARDBOARD,ESSAY,1,11,PARTICLE,d2control,particle.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/particle.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/paper_sense1.jpg?raw=true,paper_sense1.jpg,400,400,44
1,space_sense2,40,0.096444064,-0.370067756,0.823968346,-0.148019811,0.266021211,outer space,SPACE,SKY,ROOM,1,11,SKY,d1,sky.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/sky.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/space_sense2.png?raw=true,space_sense2.png,400,400,45
1,cream_sense1,9,1.280304329,-0.373788845,-0.646461638,-0.503046199,1.620260018,dairy cream,CREAM,MILK,LOTION,1,12,LEADER,d1control,leader.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/leader.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/cream_sense1.png?raw=true,cream_sense1.png,400,400,46
